title,url,source,time,date,query,story_position,domain,category
"Coronavirus live updates: Newsom to announce closure of all state beaches, 
parks, report says",https://www.sfchronicle.com/bayarea/article/Coronavirus-live-updates-news-bay-area-15192855.php,San Francisco Chronicle,6 hours ago,2020-04-30 10:00:00,coronavirus test,9,www.sfchronicle.com,
"How to get millions of people to take coronavirus tests and stay home if 
they're positive",https://www.usatoday.com/story/opinion/2020/04/30/coronavirus-tests-quarantines-incentives-can-make-it-work-column/3048508001/,USATODAY.com,7 hours ago,2020-04-30 10:00:00,coronavirus test,10,www.usatoday.com,
"Coronavirus daily news updates, April 25: What to know today about COVID-19 
in the Seattle area, Washington state and the nation",https://www.seattletimes.com/seattle-news/health/coronavirus-daily-news-updates-april-25-what-to-know-today-about-covid-19-in-the-seattle-area-washington-state-and-the-nation/,The Seattle Times,10 hours ago,2020-04-25 22:00:00,Covid-19,1,www.seattletimes.com,
The one ritual keeping me sane during Covid-19,https://www.cnn.com/2020/04/25/opinions/covid-19-ritual-grieving-ice-cream-gelles/index.html,CNN.com,13 hours ago,2020-04-25 22:00:00,Covid-19,2,www.cnn.com,
"Dyson Built a New Ventilator to Treat Covid-19 Patients, but Was Told the 
UK No Longer Needs It",https://gizmodo.com/dyson-built-a-new-ventilator-to-treat-covid-19-patients-1843075158,Gizmodo,44 mins ago,2020-04-25 22:00:00,Covid-19,3,gizmodo.com,
Covid-19 research should include studies on how the virus affects women,https://www.cnn.com/2020/04/25/opinions/coronavirus-research-women-blumenthal/index.html,CNN.com,1 hour ago,2020-04-25 22:00:00,Covid-19,4,www.cnn.com,
ProMedica doctor returning to work after his own battle with COVID-19,https://www.wtol.com/article/news/health/coronavirus/promedica-doctor-returning-to-work-after-his-own-battle-with-covid-19/512-a2708c7f-d34b-4922-bf0b-0f0dfce673f4,wtol.com,1 hour ago,2020-04-25 22:00:00,Covid-19,5,www.wtol.com,
"Trump’s COVID-19 failure shows his ‘omnipotent destructiveness’ — as he is 
‘actively engaging in sabotage’: Psychologist John Gartner",https://www.rawstory.com/2020/04/trumps-covid-19-failure-shows-his-omnipotent-destructiveness-as-he-is-actively-engaging-in-sabotage-psychologist-john-gartner/,Raw Story,3 hours ago,2020-04-25 22:00:00,Covid-19,6,www.rawstory.com,
"Coronavirus in Massachusetts: 2,730 deaths, 53,348 COVID-19 cases total",https://www.wwlp.com/news/health/coronavirus-local-impact/coronavirus-in-massachusetts-2730-deaths-53348-covid-19-cases-total/,WWLP,5 hours ago,2020-04-25 22:00:00,Covid-19,7,www.wwlp.com,
"Coronavirus updates: 166 new COVID-19 cases, 2 deaths reported in Utah on 
Saturday",https://www.ksl.com/article/46745277/coronavirus-updates-166-new-covid-19-cases-2-deaths-reported-in-utah-on-saturday,KSL.com,6 hours ago,2020-04-25 22:00:00,Covid-19,8,www.ksl.com,
Maine reports 3 more COVID-19 deaths as the state sees 25 more cases,https://bangordailynews.com/2020/04/25/news/state/maine-reports-3-more-covid-19-deaths-as-cases-rise-to-990/,Bangor Daily News,9 hours ago,2020-04-25 22:00:00,Covid-19,9,bangordailynews.com,
"UPDATE: Governor's office says 'Phase One' of reopening Virginia 'will not 
last for two years'; Chesterfield church says it didn't hold large gathering",https://www.richmond.com/news/virginia/update-governors-office-says-phase-one-of-reopening-virginia-will-not-last-for-two-years/article_434516e1-9f6e-51f5-b30d-d328870cc8bc.html,Richmond Times-Dispatch,10 hours ago,2020-04-25 22:00:00,Covid-19,10,www.richmond.com,
"Six new coronavirus symptoms just officially added to CDC list. What are 
they?",https://www.miamiherald.com/news/coronavirus/article242260231.html,Miami Herald,1 day ago,2020-04-25 22:00:00,coronavirus symptoms,1,www.miamiherald.com,
"Coronavirus FAQs: Are There Lots Of Cases With No Symptoms? Can I See A 
Dentist? : Goats and Soda",https://www.npr.org/sections/goatsandsoda/2020/04/24/844325330/coronavirus-faqs-does-a-bigger-dose-make-you-sicker-can-you-go-to-the-dentist,NPR,1 day ago,2020-04-25 22:00:00,coronavirus symptoms,2,www.npr.org,
CDC adds 6 new possible coronavirus symptoms,https://www.ktvq.com/news/coronavirus/cdc-adds-6-new-possible-coronavirus-symptoms,KTVQ.com,2 hours ago,2020-04-25 22:00:00,coronavirus symptoms,3,www.ktvq.com,
"Six new coronavirus symptoms just officially added to CDC list. What are 
they?",https://www.miamiherald.com/news/coronavirus/article242260231.html,Miami Herald,1 day ago,2020-04-25 22:00:00,coronavirus,1,www.miamiherald.com,
"Worldwide coronavirus death toll passes 200,000: Live updates",https://www.cnn.com/world/live-news/coronavirus-pandemic-04-26-20-intl/index.html,CNN.com,5 mins ago,2020-04-25 22:00:00,coronavirus,2,www.cnn.com,
Ritzy Fisher Island residents vote not to accept $2M coronavirus loan,https://nypost.com/2020/04/25/ritzy-fisher-island-residents-vote-not-to-accept-2m-coronavirus-loan/,New York Post,33 mins ago,2020-04-25 22:00:00,coronavirus,3,nypost.com,
"Detroit Health Care Worker Dies After Being Denied Coronavirus Test 4 
Times, Daughter Says",https://www.nbcphiladelphia.com/news/national-international/detroit-health-care-worker-dies-after-being-denied-coronavirus-test-4-times-daughter-says/2375969/,NBC10 Philadelphia,45 mins ago,2020-04-25 22:00:00,coronavirus,4,www.nbcphiladelphia.com,
Coronavirus detected on air pollution particles: report | TheHill,https://thehill.com/blogs/blog-briefing-room/news/494677-coronavirus-detected-on-air-pollution-particles-report,TheHill,2 hours ago,2020-04-25 22:00:00,coronavirus,5,thehill.com,
"Coronavirus live updates: Autopsy finds Santa Clara victim, 1st in US, had 
heart rupture",https://www.sfchronicle.com/bayarea/article/Coronavirus-live-updates-news-bay-area-15192855.php,San Francisco Chronicle,2 hours ago,2020-04-25 22:00:00,coronavirus,6,www.sfchronicle.com,
"New coronavirus legislation could include another round of stimulus checks, 
U.S. Rep. Richard Neal says",https://www.masslive.com/news/2020/04/new-coronavirus-legislation-could-include-another-round-of-stimulus-checks-us-rep-richard-neal-says.html,MassLive.com,4 hours ago,2020-04-25 22:00:00,coronavirus,7,www.masslive.com,
"Cuomo: Central New York’s ‘OK’ coronavirus numbers may not be enough for 
early reopening",https://www.syracuse.com/coronavirus/2020/04/cuomo-central-new-yorks-ok-coronavirus-numbers-may-not-be-enough-for-early-reopening.html,Syracuse.com,5 hours ago,2020-04-25 22:00:00,coronavirus,8,www.syracuse.com,
Fauci's absence from recent coronavirus briefings draws notice,https://www.nbcnews.com/politics/white-house/fauci-s-absence-recent-coronavirus-briefings-draws-notice-n1192421,NBC News,6 hours ago,2020-04-25 22:00:00,coronavirus,9,www.nbcnews.com,
"Icahn Sees Further Market Crash From Coronavirus, Says He’s Shorting 
Commercial Real Estate",https://www.forbes.com/sites/sergeiklebnikov/2020/04/25/icahn-sees-further-market-crash-from-coronavirus-says-hes-shorting-commercial-real-estate/,Forbes,7 hours ago,2020-04-25 22:00:00,coronavirus,10,www.forbes.com,
"WHO says no evidence shows that having coronavirus prevents a second 
infection",https://www.cnn.com/2020/04/25/us/who-immunity-antibodies-covid-19/index.html,CNN.com,6 hours ago,2020-04-25 22:00:00,coronavirus test,1,www.cnn.com,
"'No Evidence' Yet That Recovered COVID-19 Patients Are Immune, WHO Says",https://www.npr.org/sections/coronavirus-live-updates/2020/04/25/844939777/no-evidence-that-recovered-covid-19-patients-are-immune-who-says,NPR,11 hours ago,2020-04-25 22:00:00,coronavirus test,2,www.npr.org,
"Detroit Health Care Worker Dies After Being Denied Coronavirus Test 4 
Times, Daughter Says",https://www.nbcphiladelphia.com/news/national-international/detroit-health-care-worker-dies-after-being-denied-coronavirus-test-4-times-daughter-says/2375969/,NBC10 Philadelphia,47 mins ago,2020-04-25 22:00:00,coronavirus test,3,www.nbcphiladelphia.com,
"Six new coronavirus symptoms just officially added to CDC list. What are 
they?",https://www.miamiherald.com/news/coronavirus/article242260231.html,Miami Herald,1 day ago,2020-04-25 22:00:00,coronavirus symptoms,1,www.miamiherald.com,
"Coronavirus FAQs: Are There Lots Of Cases With No Symptoms? Can I See A 
Dentist? : Goats and Soda",https://www.npr.org/sections/goatsandsoda/2020/04/24/844325330/coronavirus-faqs-does-a-bigger-dose-make-you-sicker-can-you-go-to-the-dentist,NPR,1 day ago,2020-04-25 22:00:00,coronavirus symptoms,2,www.npr.org,
CDC adds 6 new possible coronavirus symptoms,https://www.ktvq.com/news/coronavirus/cdc-adds-6-new-possible-coronavirus-symptoms,KTVQ.com,2 hours ago,2020-04-25 22:00:00,coronavirus symptoms,3,www.ktvq.com,
